st_port,GROUP_CONCAT(st_dest_ip),GROUP_CONCAT(st_serv_name),GROUP_CONCAT(rule_name),GROUP_CONCAT(rule_order),GROUP_CONCAT(rule_number)
162/tcp,"139.21.146.67,139.21.146.66,139.21.146.65,139.23.156.178,139.23.156.177,139.23.156.159,139.23.156.180,139.23.156.179,139.21.152.128,139.21.146.62,139.21.152.126,139.21.146.68,139.21.146.55,139.21.146.50,139.21.146.64,139.21.152.127","TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162,TCP_162","a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring","1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108","1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092"
162/udp,"139.21.170.121,139.24.236.151,139.21.170.119,139.25.158.217,139.25.158.216,139.24.251.100,140.231.253.209,147.54.127.70,139.24.237.28,139.24.236.225,161.134.157.47,158.226.129.37,158.226.129.43,139.24.236.168,157.163.133.8,129.214.35.219,139.21.170.120,139.25.158.210,139.25.158.215,139.21.170.118,146.253.62.190,146.253.62.191,137.223.164.243,157.163.133.9,132.186.55.158,163.242.196.198,146.254.235.170,163.242.196.220,141.29.113.47,139.24.251.115,129.73.168.93,146.254.254.35,136.157.210.102","snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap,snmp-trap","a_571_SNX_monitoring,a_whitelist_SNMP,a_571_SNX_monitoring,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_571_SNX_monitoring,a_whitelist_SNMP,a_whitelist_SNMP,a_571_SNX_monitoring,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist_SNMP,a_whitelist,a_whitelist,a_whitelist","1107,955,1107,955,955,955,955,955,955,955,955,955,955,955,955,955,1107,955,955,1107,955,955,955,955,955,955,955,955,955,955,801,801,830","1091,939,1091,939,939,939,939,939,939,939,939,939,939,939,939,939,1091,939,939,1091,939,939,939,939,939,939,939,939,939,939,785,785,814"
165/udp,136.157.210.102,udp_165,a_whitelist,830,814
16500-16519/tcp,"161.218.81.39,161.218.81.99,161.218.188.111,161.218.188.195,161.218.81.40","tcp_16500-16519,tcp_16500-16519,tcp_16500-16519,tcp_16500-16519,tcp_16500-16519","wuser_1872,wuser_1872,wuser_1872,a_whitelist,a_whitelist","341,341,341,640,610","326,326,326,624,594"
16500/udp,"139.22.152.84,139.21.152.111,157.163.152.9,157.163.120.176,139.21.170.35","udp_16500,udp_16500,udp_16500,udp_16500,udp_16500","wuser_5831,wuser_5831,wuser_5831,wuser_0678,wuser_0678","464,464,466,326,323","449,449,451,311,308"
16501/udp,"139.21.170.35,157.163.120.176,139.22.152.84,139.21.152.111,157.163.152.9","udp_16501,udp_16501,udp_16501,udp_16501,udp_16501","wuser_0678,wuser_0678,wuser_5831,wuser_5831,wuser_5831","323,326,464,464,466","308,311,449,449,451"
16502/udp,"139.21.152.111,139.22.152.84,157.163.152.9,157.163.120.176,139.21.170.35","udp_16502,udp_16502,udp_16502,udp_16502,udp_16502","wuser_5831,wuser_5831,wuser_5831,wuser_0678,wuser_0678","464,464,466,326,323","449,449,451,311,308"
16503/udp,"157.163.120.176,139.21.170.35,157.163.152.9,139.21.152.111,139.22.152.84","udp_16503,udp_16503,udp_16503,udp_16503,udp_16503","wuser_0678,wuser_0678,wuser_5831,wuser_5831,wuser_5831","326,323,466,464,464","311,308,451,449,449"
16504/udp,"139.21.152.111,139.22.152.84,157.163.152.9,139.21.170.35,157.163.120.176","udp_16504,udp_16504,udp_16504,udp_16504,udp_16504","wuser_5831,wuser_5831,wuser_5831,wuser_0678,wuser_0678","464,464,466,323,326","449,449,451,308,311"
16505/udp,"139.21.170.35,157.163.120.176,157.163.152.9,139.22.152.84,139.21.152.111","udp_16505,udp_16505,udp_16505,udp_16505,udp_16505","wuser_0678,wuser_0678,wuser_5831,wuser_5831,wuser_5831","323,326,466,464,464","308,311,451,449,449"
