,IPs,APP ID,Protocol type port,FQDNs,Application Name
15711,132.186.61.208,7881,TCP 2080; TCP 27000,inggnm7vp0107x;ALIAS: lic-adsk-ind01.siemens-energy.com,AutoCAD inventor
15714,129.103.99.137,8293,UDP 135-139; TCP 135-139; UDP 445; TCP 445,\\ad001.siemens.net\dfs001\File\ENERGY_PS_CD_BA_BC,GWB
18740,139.21.188.198,8207,TCP  3206; TCP  3306,intranet.webdav.energy.siemens.com,Bidmanagement Information Base (BIB)
15756,132.186.58.30,8520,TCP 8080; TCP 8081,inkeo08772wspr.ad001.siemens.net,Earn+
18735,139.21.170.149,8963,TCP 1433; TCP 4022; TCP 135; TCP 1434; UDP 1434,sn1d7505.ad001.siemens.net,MasterTool
15766,158.226.103.11,8964,TCP 57353; TCP 5606; TCP 5607; TCP 1433; TCP 1020; TCP 4084; TCP 4085,atlnzk99201srv.ad001.siemens.com,Enovia SmarTeam 
15871,163.242.209.177,9644,TCP 1433; UDP 1434; TCP 4022; TCP 443,HUBUDK99A84SRV;HUBUDK99A80SQL,Starrag RCS
15830,141.73.21.209,9383,TCP 443; TCP 8080; TCP 80; TCP 1433; TCP 945,dekhes7lws1a.ad001.siemens.net,Technical News
15831,139.25.19.54,9410,TCP 22350,DEMCHADC03A.ad001.siemens.net,CodeMeter
15832,139.25.19.54,9410,UDP 22350,DEMCHADC03A.ad001.siemens.net,CodeMeter
15833,139.25.19.54,9410,TCP 22351,DEMCHADC03A.ad001.siemens.net,CodeMeter
15941,149.246.190.132,10566,TCP 3050,dedbgr99nzesrv.ad001.siemens.net,Van [O&G DBG]
15858,141.29.105.182,9605,TCP 443; TCP 19001; TCP 19002; TCP 19003; TCP 19004; TCP 19005; TCP 19006; TCP 31000; TCP 31001; TCP 31002; TCP 32000; TCP 32001; TCP 32002; TCP 60000; TCP 60001; TCP 60002,sn1mes04.ad101.siemens-energy.net,PSI MES - Budapest MFH
15872,158.226.134.214,9648,TCP 4330,atvie99900psrv.ad001.siemens.net,Cimco
15873,158.226.134.214,9649,TCP 445; TCP 3389; TCP 4430; TCP 49000-65000,atvie99900psrv.ad001.siemens.net,Cimco CMD-MAX
15875,141.29.254.151,9968,TCP 8080; TCP 6020; TCP 1433,ittiega03srv.ad0001.siemens.net,Opera 6.6
15876,141.29.254.151,9969,TCP 15000; TCP 6001; TCP 6002; TCP 6003,ittiega03srv.ad0001.siemens.net,Cyberplan
15879,141.29.254.151,9974,TCP 54040,ittiega03srv.ad0001.siemens.net,Prometeo
15931,136.157.165.22,10467,TCP 443; TCP 809; TCP 810,ILQyt9905srv.ad001.siemens.net,Tecdocpower WOPI SUGAT
16134,209.243.214.238,12838,TCP 3998                            ,s1nsn129.ad001.siemens.net,OpenPlant
15954,132.186.119.43,10584,TCP 5800,inggnm7oibu.ad001.siemens.net,Bentley ProjectWise
16029,139.10.137.245,11117,TCP 443; TCP 1099,nlztws99804srv.ad001.siemens.net,BusinessPartnerService' Servoy Support
16043,161.218.81.10,11362,TCP 80 ; TCP 8080; TCP 8081; TCP404; TCP 1433; TCP 19000-19005; TCP 60000 -60020,uslzua4009nsrv.ad001.siemens.net,PSI MES - Charlottesville MHG
